kg_id;kg_name;Availability_Sparql-endpoint;Extra_SPARQL_endpoint_URL;Availability_Availability-of-RDF-dump-(metadata);Availability_Availability-of-RDF-dump-(query);Extra_URL-for-download-the-dataset;Availability_Inactive-links;Security_Use-HTTPS;Security_Requires-authentication;License_License-machine-redeable-(metadata);License-machine-redeable-(query);License_License-human-redeable;Performance_Minimum-latency;Performance_25th-percentile-latency;Performance_Median-latency;Performance_75th-percentile-latency;Performance_Maximum-latency;Performance_Average-latency;Performance_Standard-deviation-of-latency;Performance_Minimum-throughput;Performance_25th-percentile-throughput;Performance_Median-throughput;Performance_75th-percentile-throughput;Performance_Maximum-throughput;Performance_Average-throughput;Performance_Standard-deviation-of-throughput;Interlinking_Degree-of-connection;Interlinking_Clustering-coefficient;Interlinking_Centrality;Interlinking_Number-of-samAs-chains;Interlinking_External-links;Score;Normalized-score;Availability_URIs-Deferenceability;Availability-score;Licensing-score;Interlinking-score;Performance-score;Security-score
apertium-rdf-ca-it;Apertium RDF CA-IT;Available;http://linguistic.linkeddata.es/sparql/;1;False;0;True;True;False;False;http://purl.oclc.org/NET/rdflicense/gpl-3.0;False;0,224;0,244;0,250;0,252;0,458;0,286;0,087;4;4,25;5,0;5,0;5;4,7;0,45825756949558405;2;1,000;0,001;22;['Name:babelnet, value:14212', 'Name:lexinfo, value:14592'];0.473;47.329;0.0;0.5;0.0;4.1258427033721635e-07;0.51;1.0
aragodbpedia;AragoDBPedia;Available;http://opendata.aragon.es/sparql;1;False;0;False;True;False;http://www.opendefinition.org/licenses/cc-by;https://creativecommons.org/licenses/by-nc/4.0/;False;0,286;0,305;0,333;0,353;0,368;0,329;0,030;3;3,0;3,0;4,0;4;3,4;0,48989794855663565;2;0;0,001;4250;['Name:dbpedia-es, value:768', 'Name:ei2a, value:768'];0.553;55.347;0.9984;0.9996;0.5;5.888629681421479e-05;0.5075;1.0
bio2rdf-affymetrix;Bio2RDF::Affymetrix;Available;http://affymetrix.bio2rdf.org/sparql;1;True;10;True;False;False;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/3.0/;-;0,096;0,098;0,103;0,121;0,139;0,111;0,016;8;10,0;10,0;10,0;11;9,9;0,7;29;0,043;0,011;162973;['Name:bio2rdf-gb, value:34181', 'Name:bio2rdf-ec, value:1860', 'Name:bio2rdf-go, value:22806', 'Name:bio2rdf-sgd, value:6122', 'Name:bio2rdf-mgi, value:18818', 'Name:bio2rdf-mirbase, value:235', 'Name:bio2rdf-ensembl, value:889620', 'Name:bio2rdf-ncbigene, value:400798', 'Name:bio2rdf-affymetrix, value:1398264', 'Name:bio2rdf-omim, value:17078', 'Name:bio2rdf-tair, value:22216', 'Name:bio2rdf-wormbase, value:14768', 'Name:bio2rdf-genbank, value:1202769', 'Name:bio2rdf-flybase, value:40886', 'Name:bio2rdf-gi, value:10107', 'Name:bio2rdf-unigene, value:587164', 'Name:bio2rdf-rgap, value:45570', 'Name:bio2rdf-tigr, value:42311', 'Name:bio2rdf-pmrna, value:3238', 'Name:bio2rdf-lncrna, value:107', 'Name:bio2rdf-pseudocap, value:5529', 'Name:bio2rdf-rapdb, value:12037', 'Name:bio2rdf-rgd, value:1', 'Name:bio2rdf-uniprot, value:650640', 'Name:bio2rdf-interpro, value:5999', 'Name:bio2rdf-refseq, value:910251', 'Name:bio2rdf-pseudomonas, value:72'];0.541;54.061;0.0;0.5;0.5;0.0002344598956857789;1.0;0.5
bncf-ns;Thesaurus BNCF;Available;http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query;1;False;14;False;True;False;http://www.opendefinition.org/licenses/cc-by;https://creativecommons.org/licenses/by/4.0/deed.it;False;0,117;0,137;0,142;0,142;0,174;0,142;0,018;6;7,0;8,0;8,0;8;7,4;0,8;8;0,500;0,003;0;['Name:getty-aat, value:232', 'Name:lcsh, value:17159', 'Name:dnb-gemeinsame-normdatei, value:9670', 'Name:datos-bne-es, value:6368', 'Name:data-bnf-fr, value:15535', 'Name:agrovoc, value:3140', 'Name:wikidata, value:13238', 'Name:eurovoc, value:176'];0.537;53.736;1.0;1.0;0.5;0.016170264451472773;1.0;1.0
BVMC;Biblioteca Virtual Miguel de Cervantes;Available;http://data.cervantesvirtual.com/sparql;1;False;0;False;True;False;http://www.opendefinition.org/licenses/cc-zero;Licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International Licence - see http://creativecommons.org/licenses/by-nc-sa/4.0/ - Original copyright Biblioteca Virtual Miguel de Cervantes;False;0,341;0,381;0,381;0,430;0,478;0,402;0,047;3;3,0;3,0;3,0;3;3,0;0,0;1;0;0,000;22325;[];0.538;53.843;0.986;0.9964999999999999;0.5;0.00024172026655132372;0.5075;1.0
Catch_Record_(2014-_2019);Norway catch records dataset @PSNC;Available;https://www.foodie-cloud.org/sparql;-1;False;0;False;False;False;http://www.opendefinition.org/licenses/cc-zero;http://publications.europa.eu/resource/authority/licence/APACHE_2_0;-;0,196;0,197;0,219;0,249;0,272;0,227;0,030;5;5,0;5,0;5,75;6;5,3;0,45825756949558405;2;0;0,001;30781;['Name:Water Areas Classification, value:4858158', 'Name:FAO species, value:4858160'];0.551;55.128;0.2;0.55;0.5;0.002420556773765861;1.0;0.5
ceo;Linked Data Cultural Heritage Agency of the Netherlands;Available;https://api.linkeddata.cultureelerfgoed.nl/datasets/rce/cho/services/cho/sparql;-1;False;0;False;False;False;http://www.opendefinition.org/licenses/cc-zero;https://creativecommons.org/publicdomain/zero/1.0/;False;0,156;0,176;0,197;0,198;0,225;0,191;0,023;5;6,0;6,0;6,0;7;5,9;0,5385164807134504;1;0;0,000;2;['Name:cht, value:1'];0.322;32.159;0.003;0.50075;0.5;2.617663890810834e-05;0.0;0.5
chembl-rdf;ChEMBL RDF;offline;https://www.ebi.ac.uk/rdf/services/chembl/sparql;1;-;0;True;-;-;http://www.opendefinition.org/licenses/cc-by-sa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;0,333;0,001;-;['Name:identifiers.org, value:93186', 'Name:uniprotkb, value:6795'];0.085;8.467;-;0.25;0.5;0.0;0;0.0
chemdb-basicInfo;chemdb  dataset;-;http://chemdb.semweb.csdb.cn/sparql;-1;-;0;False;-;-;http://www.opendefinition.org/licenses/cc-by;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;0,667;0,001;-;['Name:bioportal-cheminf, value:1937240', 'Name:bioportal-sio, value:3874479', 'Name:bioportal-chebi, value:387448'];0.108;10.827;-;0.25;0.5;0.0;0;0.0
chronicling-america;Chronicling America;-;;1;-;0;True;-;-;False;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0,600;0,002;-;['Name:lingvoj, value:1000', 'Name:dbpedia, value:10000', 'Name:geonames-semantic-web, value:1000'];0.087;8.742;-;0.25;0.0;0.0;0;0.0
